WaferID,BTM_Count,DMT_Count,TFK_Count,BTM_Mean_Thickness,DMT_Mean_Thickness,TFK_Mean_Thickness,BTM_Std_Thickness,DMT_Std_Thickness,TFK_Std_Thickness
AANBD159TED5,31.0,0.0,0.0,3334.26,0.0,0.0,7.5,0.0,0.0
AANBD160TEG6,31.0,0.0,0.0,3334.84,0.0,0.0,7.51,0.0,0.0
AANBD182TEC1,31.0,0.0,0.0,3350.45,0.0,0.0,12.4,0.0,0.0
AANBD183TEG3,31.0,0.0,0.0,3360.71,0.0,0.0,7.61,0.0,0.0
AANBD202TEC1,31.0,0.0,0.0,3346.52,0.0,0.0,12.11,0.0,0.0
AANBD204TED2,31.0,0.0,0.0,3358.71,0.0,0.0,7.32,0.0,0.0
AANBD216TEB4,31.0,0.0,0.0,3360.06,0.0,0.0,7.56,0.0,0.0
AANBD234TEC0,0.0,31.0,31.0,0.0,11426.58,11433.18,0.0,67.6,62.99
AANBD247TEE4,0.0,31.0,31.0,0.0,11387.36,11394.33,0.0,83.06,76.04
AANBD252TEC4,31.0,0.0,0.0,3357.55,0.0,0.0,7.38,0.0,0.0
AANBD258TEF7,0.0,31.0,31.0,0.0,11415.49,11421.52,0.0,66.96,61.09
AANBD260TEF7,0.0,31.0,31.0,0.0,11399.62,11405.98,0.0,83.89,77.84
AHJYE733TMA3,31.0,0.0,0.0,3368.13,0.0,0.0,11.12,0.0,0.0
GD2SM303JKA0,31.0,0.0,0.0,3347.03,0.0,0.0,23.7,0.0,0.0
GD2SM325JKC6,31.0,0.0,0.0,3359.68,0.0,0.0,10.59,0.0,0.0
GD2SM381JKF3,31.0,0.0,0.0,3364.55,0.0,0.0,11.6,0.0,0.0
GD7LB587JKG0,31.0,0.0,0.0,3358.1,0.0,0.0,11.03,0.0,0.0
GD7LB589JKH1,31.0,0.0,0.0,3347.87,0.0,0.0,21.3,0.0,0.0
GD7LB591JKH1,31.0,0.0,0.0,3349.35,0.0,0.0,18.55,0.0,0.0
WMCTE191ESB7,31.0,0.0,0.0,3348.29,0.0,0.0,20.95,0.0,0.0
